Hausa_Text,English_Translation,Intent,Tone,Domain
Ina Kwana? ,Good Morning,Greeting,Polite,Daily Life
Ina Wuni?,Good Afternoon / Good Evening ,Greeting,Polite,Daily Life
Barka da Safiya,Good Morning / How is your morning?,Greeting,Polite,Daily Life
Barka da Rana,Good Afternoon / How is your Afternoon?,Greeting,Polite,Daily Life
Barka da Yamma,Good Evening / How is your Evening,Greeting,Polite,Daily Life
Barka da Dare,How is your Night?,Greeting,Polite,Daily Life
Ya Kake?,How are You?,Greeting,Neutral / Friendly,Daily Life
Ya Kike?,How are You?,Greeting,Neutral / Friendly,Daily Life
Kana Lafiya?,Are you Okay? / Are you well?,Well-being Check,Polite / Concerned,Daily Life
Kina Lafiya?,Are you Okay? / Are you well?,Well-being Check,Polite / Concerned,Daily Life
Yaya Iyali? ,How is your Family? ,Well-being Check ,Polite / Caring ,Family 
Yaya mutanen gida? ,How is everyone at home? ,Well-being Check ,Polite / Caring ,Family 
Ya gida? ,How is the Household? / How is everything at Home? ,Well-being Check ,Polite / Caring ,Family 
Yaya al'amuran gida? ,How are things at home? ,Well-being Check ,Polite / Serious / Caring,Family 
"Alhamdulillah, Komai Lafiya. ","Praise be to Allah, Everything is fine. ",Status / Response,Positive ,Greeting / Health
"Alhamdulillah, Kowa Lafiya. ","Praise be to Allah, Everyone is Fine. ",Status / Response ,Positive ,Greeting / Health
Kowa Yana Nan Lafiya. ,Everyone if Fine / Everyone is doing well ,Statement / Response ,Positive ,Greeting / Health 
lafiya lau ,Very Fine,Response ,Positive ,Greeting / Health 
lafiya lau nike,I am very fine,Self - report ,Positive ,Greeting / Health 
lafiya lau take,She is very fine,Statement ,Positive ,Greeting / Health 
lafiya lau muke,We are very fine,Statement ,Positive ,Greeting / Health 
lafiya lau yake,He is very fine,Statement ,Positive ,Greeting / Health 
Sunanan Lafiya Lau,They are very fine,Statement ,Positive ,Greeting / Health 
Tana Nan lafiya lau,She is very fine / She is doing very well ,Statement ,Positive ,Greeting / Health 
Yana Nan Lafiya Lau ,He is very fine / He is doing very well ,Statement ,Positive ,Greeting / Health 
Suna Nan lafiya lau ,They are very fine / They are doing very well ,Statement ,positive ,Greeting/ Health 
Bani lafiya,I am not fine / I am not well,Health Complaint ,Negative ,Health 
Bata lafiya,She is not fine / She is not weel,Health Complaint ,Negative ,Health 
Baya Lafiya,He is not fine / He is not feeling fine / He is not well,Health Complaint ,Negative ,Health 
Bashi lapia ,He is not fine / He is not feeling fine / He is not well,Health Complaint ,Negative ,Health 
Basu Lafiya,They are not well / They are not Feeling fine,Health Complaint ,Negative ,Health 
Basu Jin dadi,They are not feeling well,Health Complaint ,Negative ,Health 
Ya sunanka? ,What is your Name? ,Identity Inquiry ,Neutral ,Identity 
Ya sunanki? ,What is your Name? ,Identity Inquiry ,Neutral ,Identity
Yaushe zaka zo? ,When are you coming? When will you come? ,Time Inquiry ,Neutral ,Time / Event 
Yaushe zaku zo? ,When are you coming? When will you (plural) come? ,Time Inquiry ,Neutral ,Time / Event
Yaushe zaki zo? ,When are you coming? when will you come? ,Time Inquiry ,Neutral ,Time / Event
Yaushe zanzo? ,When should I Come? When will I come? ,Time Inquiry ,Neutral ,Time / Event
Yaushe zata zo? ,When is she coming? when will she come? ,Time Inquiry ,Neutral ,Time / Event
